,Tournament Name,Tournament Date,Tournament Country,Discipline,Number of Sets Played,Retired,Match Duration (min),Team 1 Nationalities,Team 2 Nationalities,Team 1 Name(s),Team 1 Seed,Team 2 Name(s),Team 2 Seed,Points Set 1 Team 1,Points Set 1 Team 2,Points Set 2 Team 1,Points Set 2 Team 2,Points Set 3 Team 1,Points Set 3 Team 2,Total Points Team 1,Total Points Team 2,Sets Won Team 1,Sets Won Team 2,Total Game Points Team 1,Total Game Points Team 2,Most Consecutive Points Team 1,Most Consecutive Points Team 2,Team 1 Head to Head Analysis,Team 2 Head to Head Analysis,Upset,Team 1 World Ranking (at the time),Team 1 Points Accumulated,Team 2 World Ranking (at the time),Team 2 Points Accumulated
258,Siminvest_Indonesia_Open_2021_New_,2021-11-24,2,WS,4,0,33,17,19,6,7.0,20,,21,10,21.0,13.0,,,42,23,2,0,4,0,6,4,2,0,0,1.0,36000.0,29.0,10790.0
259,Yonex_All_England_Open,2021-03-17,1,WS,4,0,32,10,8,0,3.0,62,,21,17,21.0,13.0,,,42,30,2,0,3,0,5,3,0,0,1,,,17.0,1670.0
260,Yonex_All_England_Open,2022-03-18,1,WS,4,0,35,11,28,1,4.0,27,,21,12,21.0,9.0,,,42,21,2,0,3,0,10,4,2,1,0,24.0,4900.0,60.0,1670.0
261,Siminvest_Indonesia_Open_2021_New_,2021-11-24,2,WS,6,0,49,3,5,36,,43,,14,21,21.0,18.0,21.0,11.0,56,50,2,1,2,1,6,7,2,1,1,37.0,9540.0,5.0,26600.0
262,Yonex_All_England_Open,2019-03-06,1,WS,4,0,42,4,3,29,,9,,25,23,21.0,15.0,,,46,38,2,0,5,2,9,5,0,0,0,5.0,11770.0,13.0,9870.0
263,Siminvest_Indonesia_Open_2021_New_,2021-11-23,2,WS,4,0,33,5,23,30,,16,,22,20,21.0,10.0,,,43,30,2,0,2,1,8,6,0,1,1,28.0,11070.0,24.0,12010.0
264,Yonex_All_England_Open,2022-03-19,1,WS,4,0,41,10,3,0,2.0,12,3.0,21,11,21.0,13.0,,,42,24,2,0,2,0,6,3,20,11,1,44.0,2750.0,19.0,5950.0
265,Yonex_All_England_Open,2022-03-20,1,WS,4,0,44,10,15,0,2.0,2,4.0,21,15,21.0,15.0,,,42,30,2,0,2,0,6,4,12,11,1,44.0,2750.0,24.0,4900.0
266,Yonex_All_England_Open,2022-03-18,1,WS,4,0,34,10,14,0,2.0,69,,21,18,21.0,7.0,,,42,25,2,0,2,0,13,4,9,0,1,44.0,2750.0,33.0,3850.0
267,Siminvest_Indonesia_Open_2021_New_,2021-11-25,2,WS,4,0,37,8,9,39,3.0,85,,21,12,21.0,18.0,,,42,30,2,0,5,0,7,3,2,0,0,4.0,28650.0,11.0,18380.0
268,East_Ventures_Indonesia_Open,2022-06-14,2,WS,4,0,47,2,11,19,,60,7.0,21,14,21.0,18.0,,,42,32,2,0,4,0,5,4,11,10,1,5.0,32060.0,1.0,45850.0
269,Yonex_All_England_Open,2022-03-16,1,WS,4,0,33,17,8,6,,46,,21,9,21.0,13.0,,,42,22,2,0,2,0,7,3,0,0,0,5.0,10870.0,60.0,1670.0
270,East_Ventures_Indonesia_Open,2022-06-15,2,WS,6,0,52,17,12,25,,24,,21,17,10.0,21.0,21.0,12.0,52,50,2,1,2,1,7,7,0,5,0,47.0,7780.0,54.0,6600.0
271,East_Ventures_Indonesia_Open,2022-06-14,2,WS,4,0,41,10,5,0,1.0,51,,21,15,21.0,18.0,,,42,33,2,0,2,0,5,4,10,0,0,14.0,19790.0,68.0,4440.0
272,Siminvest_Indonesia_Open_2021_New_,2021-11-25,2,WS,4,0,36,11,23,46,,5,,21,13,21.0,14.0,,,42,27,2,0,4,0,6,4,0,0,1,68.0,2660.0,31.0,10110.0
273,East_Ventures_Indonesia_Open,2022-06-16,2,WS,4,0,48,2,23,53,,10,5.0,21,17,21.0,18.0,,,42,35,2,0,4,0,5,4,0,2,0,15.0,18990.0,,
274,East_Ventures_Indonesia_Open,2022-06-15,2,WS,4,0,39,2,15,9,4.0,30,,21,10,21.0,17.0,,,42,27,2,0,2,0,6,3,6,1,0,2.0,40900.0,19.0,16370.0
275,East_Ventures_Indonesia_Open,2022-06-17,2,WS,6,0,69,2,15,19,,2,3.0,15,21,21.0,17.0,21.0,14.0,57,52,2,1,3,4,7,4,4,8,1,5.0,32060.0,3.0,35020.0
276,East_Ventures_Indonesia_Open,2022-06-18,2,WS,4,0,42,2,3,53,,26,,21,15,21.0,10.0,,,42,25,2,0,3,0,8,3,4,3,1,15.0,18990.0,5.0,32060.0
277,East_Ventures_Indonesia_Open,2022-06-17,2,WS,4,0,37,2,14,9,4.0,56,6.0,21,16,21.0,10.0,,,42,26,2,0,3,0,7,5,9,4,0,2.0,40900.0,37.0,10200.0
278,East_Ventures_Indonesia_Open,2022-06-18,2,WS,6,0,69,3,3,51,2.0,12,4.0,10,21,26.0,24.0,21.0,12.0,57,57,2,1,3,7,6,7,18,9,1,12.0,20350.0,2.0,40900.0
279,Yonex_All_England_Open,2021-03-17,1,WS,4,0,24,4,22,28,,50,,21,12,21.0,11.0,,,42,23,2,0,0,0,0,0,0,0,0,5.0,3850.0,,
280,East_Ventures_Indonesia_Open,2022-06-14,2,WS,4,0,49,16,5,7,5.0,29,,21,17,21.0,17.0,,,42,34,2,0,2,0,7,4,3,0,1,,,22.0,14950.0
281,Yonex_All_England_Open,2022-03-17,1,WS,4,0,40,11,20,1,4.0,32,,21,17,21.0,16.0,,,42,33,2,0,3,0,9,4,5,0,0,24.0,4900.0,60.0,1670.0
282,East_Ventures_Indonesia_Open,2022-06-17,2,WS,4,0,37,3,5,51,2.0,44,,21,13,21.0,13.0,,,42,26,2,0,2,0,5,5,5,0,0,12.0,20350.0,18.0,18530.0
283,Yonex_All_England_Open,2022-03-17,1,WS,6,0,47,2,23,19,8.0,16,,16,21,21.0,6.0,21.0,9.0,58,36,2,1,2,1,8,3,1,0,0,13.0,7000.0,60.0,1670.0
284,East_Ventures_Indonesia_Open,2022-06-19,2,WS,6,0,60,3,3,51,2.0,80,,21,23,21.0,6.0,21.0,15.0,63,44,2,1,3,2,11,5,1,0,0,12.0,20350.0,15.0,18990.0
285,East_Ventures_Indonesia_Open,2022-06-14,2,WS,6,0,59,14,5,24,,43,,17,21,21.0,16.0,21.0,19.0,59,56,2,1,3,2,7,5,4,1,0,17.0,18570.0,24.0,14680.0
286,East_Ventures_Indonesia_Open,2022-06-16,2,WS,4,0,32,10,25,35,6.0,36,,21,16,21.0,8.0,,,42,24,2,0,3,0,9,6,1,1,0,37.0,10200.0,47.0,7780.0
287,Yonex_All_England_Open,2020-03-11,1,WS,4,0,37,2,10,53,,13,,21,14,21.0,16.0,,,42,30,2,0,4,0,7,4,0,0,0,3.0,16980.0,44.0,3890.0
288,Yonex_All_England_Open,2022-03-16,1,WS,4,0,27,14,28,24,,6,,21,16,21.0,13.0,,,42,29,2,0,2,0,7,3,2,3,0,60.0,1670.0,,
